frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
0	30	102.00447	4.04336	42.37487	72.00675	1.87551	52.60471	50.6009	122.97421	7.16213	117.59962	16.7202	119.22126	31.56401	77.66557	31.72077	79.81602	26.27886	101.38507	24.5223	84.42647	185.80024	10.12318	2.55167	21.72556	31.83246	16.79792	407.22087
30	60	1271.62048	849.91885	845.00513	1319.04787	783.65369	1080.94424	1059.53027	1071.56786	803.9956	1252.9805	905.55063	2228.51131	1053.47389	1467.61242	1386.78168	1552.71615	1291.77895	1242.31266	1230.04401	1146.66819	1546.99909	886.58402	564.68796	795.50147	1082.49312	1556.42787	2620.95085
60	90	1646.02799	2195.47677	2528.05591	2073.64323	2369.12358	1620.29503	1559.58893	1844.37588	1344.91617	2822.82086	1852.32437	3995.88873	2563.61053	3132.75639	2321.94704	3248.5649	2184.68577	2959.26334	2007.14989	2423.80469	3420.81443	3090.80454	1122.36246	2312.0252	2419.47992	3227.47884	3516.88594
90	120	2743.60051	3867.5651	4114.19893	3270.78064	3917.29292	2336.01831	2606.34667	3010.9119	3283.64936	4434.93028	3868.18718	4876.20073	3525.44411	4283.39567	3263.38168	4199.84976	3249.56598	3802.46418	3325.65153	4730.27213	6318.46554	3761.21357	1834.45233	4306.72951	3606.80772	4517.33582	7628.11582
120	150	3586.07526	5073.50423	4556.07213	3365.7495	3952.7093	2564.58924	4405.58803	3035.18462	3730.75225	5074.79686	3501.48843	5727.54369	4560.9309	4100.68397	3903.60169	4213.66882	4034.20187	4148.57825	3852.41757	5311.24491	8038.04497	4420.04697	2927.34302	5515.99266	5452.23775	4700.64392	7799.40326
150	180	4044.02587	4078.92434	4254.35841	3913.82146	2562.28353	3499.0794	4256.21352	3121.34405	3426.62151	4274.34683	3410.47613	4226.5848	4568.73089	4308.4098	4117.28893	4252.86948	4157.67965	4206.7908	3902.62147	3949.40864	4701.86991	3456.71079	2851.72717	4058.22607	3867.12856	3652.21946	4717.69652
180	240	3275.54185	3362.39402	3182.60604	3796.0746	2692.87002	3520.07806	3448.60397	3515.05542	3723.61558	4218.20886	4486.17913	3882.56397	4889.62191	3773.16757	4538.2613	3828.28348	4211.21251	3887.99838	4519.65452	4127.60587	4791.17701	3824.16299	2772.7915	3886.31519	3609.99059	4113.20051	5208.3086
240	300	4124.6482	2796.56554	3842.93586	4041.5464	3056.2103	3607.48433	3565.89604	3203.99361	3592.00721	3995.17696	3667.26159	4426.74655	4691.80759	4476.88765	4375.77191	4295.21211	4103.31883	4163.17384	4185.3279	3966.44622	4417.91658	4031.01685	2500.38318	3521.76884	3139.62891	3805.62264	4506.17907
300	360	3404.97265	3212.76598	4117.3803	4052.32625	3928.46367	3514.28296	3840.62882	3507.97256	3834.86134	3986.20142	3544.70652	4277.84462	4296.4747	4315.46789	4201.80088	4199.18341	4054.09515	4083.7556	4060.5403	3824.05566	4201.7317	3362.07764	3355.23694	3190.73252	3203.09246	3905.63864	4482.74951
360	480	3288.10393	3690.94797	3974.63857	3583.91428	3216.32996	3633.73125	3654.4521	3314.17359	3461.88198	3639.62926	3660.21054	3801.42247	4025.89791	3624.67747	3761.98397	3623.99698	3733.24405	3638.22987	3721.84066	3646.4302	3999.37202	3226.70981	3304.13525	3489.10947	3512.50264	3863.62046	4274.18435
