index	volume-mm3	name
2	249751.1	Left-Cerebral-White-Matter
4	12789.0	Left-Lateral-Ventricle
5	189.0	Left-Inf-Lat-Vent
7	15689.0	Left-Cerebellum-White-Matter
8	47586.0	Left-Cerebellum-Cortex
10	7994.0	Left-Thalamus
11	4456.0	Left-Caudate
12	4849.0	Left-Putamen
13	2111.0	Left-Pallidum
14	1046.0	3rd-Ventricle
15	1164.0	4th-Ventricle
16	12027.0	Brain-Stem
17	5044.0	Left-Hippocampus
18	1892.0	Left-Amygdala
24	1632.0	CSF
26	521.0	Left-Accumbens-area
28	4726.0	Left-VentralDC
31	1087.0	Left-choroid-plexus
41	250346.2	Right-Cerebral-White-Matter
43	9099.0	Right-Lateral-Ventricle
44	215.0	Right-Inf-Lat-Vent
46	14635.0	Right-Cerebellum-White-Matter
47	48167.0	Right-Cerebellum-Cortex
49	7381.0	Right-Thalamus
50	4303.0	Right-Caudate
51	4929.0	Right-Putamen
52	2042.0	Right-Pallidum
53	5098.0	Right-Hippocampus
54	2038.0	Right-Amygdala
58	644.0	Right-Accumbens-area
60	4647.0	Right-VentralDC
62	11.0	Right-vessel
63	739.0	Right-choroid-plexus
85	179.0	Optic-Chiasm
130	85819.0	AirCavity
165	1224764.0	Skull
172	2358.0	Vermis
174	9715.0	Pons
257	224792.4	CSF-ExtraCerebral
258	1125576.0	Head-ExtraCerebral
1001	2273.2	ctx-lh-bankssts
1002	1163.1	ctx-lh-caudalanteriorcingulate
1003	5796.8	ctx-lh-caudalmiddlefrontal
1005	2286.1	ctx-lh-cuneus
1006	1798.0	ctx-lh-entorhinal
1007	9523.0	ctx-lh-fusiform
1008	10182.6	ctx-lh-inferiorparietal
1009	10573.2	ctx-lh-inferiortemporal
1010	2359.1	ctx-lh-isthmuscingulate
1011	8865.5	ctx-lh-lateraloccipital
1012	7307.0	ctx-lh-lateralorbitofrontal
1013	6086.1	ctx-lh-lingual
1014	4709.9	ctx-lh-medialorbitofrontal
1015	9429.2	ctx-lh-middletemporal
1016	2114.8	ctx-lh-parahippocampal
1017	2999.5	ctx-lh-paracentral
1018	3540.8	ctx-lh-parsopercularis
1019	2331.8	ctx-lh-parsorbitalis
1020	3406.1	ctx-lh-parstriangularis
1021	1441.5	ctx-lh-pericalcarine
1022	7576.4	ctx-lh-postcentral
1023	2635.8	ctx-lh-posteriorcingulate
1024	11486.8	ctx-lh-precentral
1025	8889.9	ctx-lh-precuneus
1026	2846.4	ctx-lh-rostralanteriorcingulate
1027	13337.0	ctx-lh-rostralmiddlefrontal
1028	21493.1	ctx-lh-superiorfrontal
1029	11801.1	ctx-lh-superiorparietal
1030	12264.1	ctx-lh-superiortemporal
1031	12231.0	ctx-lh-supramarginal
1032	866.9	ctx-lh-frontalpole
1033	2655.9	ctx-lh-temporalpole
1034	1273.0	ctx-lh-transversetemporal
1035	6965.6	ctx-lh-insula
2001	2468.8	ctx-rh-bankssts
2002	2186.1	ctx-rh-caudalanteriorcingulate
2003	5283.8	ctx-rh-caudalmiddlefrontal
2005	2495.4	ctx-rh-cuneus
2006	1348.8	ctx-rh-entorhinal
2007	7913.8	ctx-rh-fusiform
2008	13751.4	ctx-rh-inferiorparietal
2009	8995.5	ctx-rh-inferiortemporal
2010	2752.1	ctx-rh-isthmuscingulate
2011	9755.1	ctx-rh-lateraloccipital
2012	7151.1	ctx-rh-lateralorbitofrontal
2013	7850.2	ctx-rh-lingual
2014	5672.1	ctx-rh-medialorbitofrontal
2015	11048.9	ctx-rh-middletemporal
2016	2221.1	ctx-rh-parahippocampal
2017	3437.5	ctx-rh-paracentral
2018	3437.1	ctx-rh-parsopercularis
2019	2717.4	ctx-rh-parsorbitalis
2020	4162.1	ctx-rh-parstriangularis
2021	2010.1	ctx-rh-pericalcarine
2022	7936.8	ctx-rh-postcentral
2023	3176.9	ctx-rh-posteriorcingulate
2024	11932.4	ctx-rh-precentral
2025	8833.6	ctx-rh-precuneus
2026	2114.5	ctx-rh-rostralanteriorcingulate
2027	14115.4	ctx-rh-rostralmiddlefrontal
2028	20985.9	ctx-rh-superiorfrontal
2029	10511.1	ctx-rh-superiorparietal
2030	11933.1	ctx-rh-superiortemporal
2031	9752.8	ctx-rh-supramarginal
2032	1155.8	ctx-rh-frontalpole
2033	2476.5	ctx-rh-temporalpole
2034	987.4	ctx-rh-transversetemporal
2035	6893.6	ctx-rh-insula
