index	volume-mm3	name
2	238185.8	Left-Cerebral-White-Matter
4	3081.0	Left-Lateral-Ventricle
5	104.0	Left-Inf-Lat-Vent
7	15358.0	Left-Cerebellum-White-Matter
8	53658.0	Left-Cerebellum-Cortex
10	8602.0	Left-Thalamus
11	3186.0	Left-Caudate
12	4827.0	Left-Putamen
13	2125.0	Left-Pallidum
14	867.0	3rd-Ventricle
15	1777.0	4th-Ventricle
16	11917.0	Brain-Stem
17	5057.0	Left-Hippocampus
18	2150.0	Left-Amygdala
24	1004.0	CSF
26	588.0	Left-Accumbens-area
28	4790.0	Left-VentralDC
31	327.0	Left-choroid-plexus
41	242102.2	Right-Cerebral-White-Matter
43	3782.0	Right-Lateral-Ventricle
44	168.0	Right-Inf-Lat-Vent
46	13408.0	Right-Cerebellum-White-Matter
47	53771.0	Right-Cerebellum-Cortex
49	7873.0	Right-Thalamus
50	3256.0	Right-Caudate
51	5383.0	Right-Putamen
52	2255.0	Right-Pallidum
53	5088.0	Right-Hippocampus
54	2323.0	Right-Amygdala
58	656.0	Right-Accumbens-area
60	4503.0	Right-VentralDC
62	4.0	Right-vessel
63	427.0	Right-choroid-plexus
85	169.0	Optic-Chiasm
130	66350.0	AirCavity
165	1095825.0	Skull
172	2509.0	Vermis
174	9790.0	Pons
257	253387.1	CSF-ExtraCerebral
258	1379205.0	Head-ExtraCerebral
1001	2498.8	ctx-lh-bankssts
1002	1969.1	ctx-lh-caudalanteriorcingulate
1003	4885.0	ctx-lh-caudalmiddlefrontal
1005	2539.5	ctx-lh-cuneus
1006	1568.6	ctx-lh-entorhinal
1007	8464.5	ctx-lh-fusiform
1008	9389.0	ctx-lh-inferiorparietal
1009	9581.2	ctx-lh-inferiortemporal
1010	1741.2	ctx-lh-isthmuscingulate
1011	10327.1	ctx-lh-lateraloccipital
1012	6352.8	ctx-lh-lateralorbitofrontal
1013	4915.6	ctx-lh-lingual
1014	4506.6	ctx-lh-medialorbitofrontal
1015	10311.9	ctx-lh-middletemporal
1016	2160.1	ctx-lh-parahippocampal
1017	2966.9	ctx-lh-paracentral
1018	3172.6	ctx-lh-parsopercularis
1019	1724.5	ctx-lh-parsorbitalis
1020	2867.2	ctx-lh-parstriangularis
1021	1629.8	ctx-lh-pericalcarine
1022	7713.0	ctx-lh-postcentral
1023	2287.6	ctx-lh-posteriorcingulate
1024	10102.8	ctx-lh-precentral
1025	8118.2	ctx-lh-precuneus
1026	2430.9	ctx-lh-rostralanteriorcingulate
1027	12850.5	ctx-lh-rostralmiddlefrontal
1028	19356.8	ctx-lh-superiorfrontal
1029	10115.8	ctx-lh-superiorparietal
1030	12613.2	ctx-lh-superiortemporal
1031	9419.8	ctx-lh-supramarginal
1032	713.4	ctx-lh-frontalpole
1033	3064.5	ctx-lh-temporalpole
1034	1277.0	ctx-lh-transversetemporal
1035	6533.4	ctx-lh-insula
2001	2142.1	ctx-rh-bankssts
2002	1578.0	ctx-rh-caudalanteriorcingulate
2003	5508.1	ctx-rh-caudalmiddlefrontal
2005	2761.9	ctx-rh-cuneus
2006	1635.9	ctx-rh-entorhinal
2007	7933.6	ctx-rh-fusiform
2008	13947.0	ctx-rh-inferiorparietal
2009	10238.0	ctx-rh-inferiortemporal
2010	1905.6	ctx-rh-isthmuscingulate
2011	9600.1	ctx-rh-lateraloccipital
2012	6132.2	ctx-rh-lateralorbitofrontal
2013	6895.6	ctx-rh-lingual
2014	4600.1	ctx-rh-medialorbitofrontal
2015	9382.0	ctx-rh-middletemporal
2016	2047.6	ctx-rh-parahippocampal
2017	3442.1	ctx-rh-paracentral
2018	2886.4	ctx-rh-parsopercularis
2019	2049.6	ctx-rh-parsorbitalis
2020	3353.5	ctx-rh-parstriangularis
2021	2015.9	ctx-rh-pericalcarine
2022	7501.4	ctx-rh-postcentral
2023	2755.6	ctx-rh-posteriorcingulate
2024	11243.1	ctx-rh-precentral
2025	9073.1	ctx-rh-precuneus
2026	1510.8	ctx-rh-rostralanteriorcingulate
2027	12978.5	ctx-rh-rostralmiddlefrontal
2028	18979.9	ctx-rh-superiorfrontal
2029	10872.8	ctx-rh-superiorparietal
2030	10351.4	ctx-rh-superiortemporal
2031	8667.2	ctx-rh-supramarginal
2032	830.8	ctx-rh-frontalpole
2033	2515.4	ctx-rh-temporalpole
2034	773.5	ctx-rh-transversetemporal
2035	6525.1	ctx-rh-insula
