index	volume-mm3	name
2	219456.9	Left-Cerebral-White-Matter
4	5688.0	Left-Lateral-Ventricle
5	143.0	Left-Inf-Lat-Vent
7	13338.0	Left-Cerebellum-White-Matter
8	49901.0	Left-Cerebellum-Cortex
10	7141.0	Left-Thalamus
11	2933.0	Left-Caudate
12	4092.0	Left-Putamen
13	1841.0	Left-Pallidum
14	762.0	3rd-Ventricle
15	1487.0	4th-Ventricle
16	12007.0	Brain-Stem
17	4328.0	Left-Hippocampus
18	1681.0	Left-Amygdala
24	1069.0	CSF
26	386.0	Left-Accumbens-area
28	4031.0	Left-VentralDC
30	1.0	Left-vessel
31	618.0	Left-choroid-plexus
41	218691.9	Right-Cerebral-White-Matter
43	5300.0	Right-Lateral-Ventricle
44	419.0	Right-Inf-Lat-Vent
46	12591.0	Right-Cerebellum-White-Matter
47	50398.0	Right-Cerebellum-Cortex
49	6715.0	Right-Thalamus
50	3112.0	Right-Caudate
51	4149.0	Right-Putamen
52	1921.0	Right-Pallidum
53	4140.0	Right-Hippocampus
54	1844.0	Right-Amygdala
58	480.0	Right-Accumbens-area
60	4023.0	Right-VentralDC
63	649.0	Right-choroid-plexus
85	178.0	Optic-Chiasm
130	98949.0	AirCavity
165	1144226.0	Skull
172	3309.0	Vermis
174	9801.0	Pons
257	256960.1	CSF-ExtraCerebral
258	2216343.0	Head-ExtraCerebral
1001	2306.1	ctx-lh-bankssts
1002	1181.0	ctx-lh-caudalanteriorcingulate
1003	4645.4	ctx-lh-caudalmiddlefrontal
1005	3011.6	ctx-lh-cuneus
1006	1990.2	ctx-lh-entorhinal
1007	9081.2	ctx-lh-fusiform
1008	9404.4	ctx-lh-inferiorparietal
1009	7898.9	ctx-lh-inferiortemporal
1010	1668.2	ctx-lh-isthmuscingulate
1011	12278.5	ctx-lh-lateraloccipital
1012	5395.6	ctx-lh-lateralorbitofrontal
1013	5271.5	ctx-lh-lingual
1014	4442.8	ctx-lh-medialorbitofrontal
1015	8147.2	ctx-lh-middletemporal
1016	2270.2	ctx-lh-parahippocampal
1017	2674.2	ctx-lh-paracentral
1018	3549.1	ctx-lh-parsopercularis
1019	2085.0	ctx-lh-parsorbitalis
1020	3108.5	ctx-lh-parstriangularis
1021	1705.2	ctx-lh-pericalcarine
1022	6981.0	ctx-lh-postcentral
1023	2236.9	ctx-lh-posteriorcingulate
1024	11759.0	ctx-lh-precentral
1025	6518.1	ctx-lh-precuneus
1026	2053.9	ctx-lh-rostralanteriorcingulate
1027	12590.5	ctx-lh-rostralmiddlefrontal
1028	17848.8	ctx-lh-superiorfrontal
1029	8322.0	ctx-lh-superiorparietal
1030	11010.8	ctx-lh-superiortemporal
1031	7854.8	ctx-lh-supramarginal
1032	998.1	ctx-lh-frontalpole
1033	2425.4	ctx-lh-temporalpole
1034	954.9	ctx-lh-transversetemporal
1035	5985.2	ctx-lh-insula
2001	1713.9	ctx-rh-bankssts
2002	1298.8	ctx-rh-caudalanteriorcingulate
2003	3847.6	ctx-rh-caudalmiddlefrontal
2005	2623.5	ctx-rh-cuneus
2006	2018.6	ctx-rh-entorhinal
2007	7300.1	ctx-rh-fusiform
2008	11193.8	ctx-rh-inferiorparietal
2009	7424.0	ctx-rh-inferiortemporal
2010	1696.9	ctx-rh-isthmuscingulate
2011	12278.8	ctx-rh-lateraloccipital
2012	5391.2	ctx-rh-lateralorbitofrontal
2013	5442.0	ctx-rh-lingual
2014	4478.2	ctx-rh-medialorbitofrontal
2015	9224.1	ctx-rh-middletemporal
2016	1841.2	ctx-rh-parahippocampal
2017	3124.1	ctx-rh-paracentral
2018	3172.2	ctx-rh-parsopercularis
2019	2318.4	ctx-rh-parsorbitalis
2020	4218.2	ctx-rh-parstriangularis
2021	1905.1	ctx-rh-pericalcarine
2022	6012.9	ctx-rh-postcentral
2023	2554.8	ctx-rh-posteriorcingulate
2024	11396.0	ctx-rh-precentral
2025	6971.4	ctx-rh-precuneus
2026	1520.8	ctx-rh-rostralanteriorcingulate
2027	13449.0	ctx-rh-rostralmiddlefrontal
2028	17815.1	ctx-rh-superiorfrontal
2029	8205.4	ctx-rh-superiorparietal
2030	12010.6	ctx-rh-superiortemporal
2031	8095.5	ctx-rh-supramarginal
2032	973.1	ctx-rh-frontalpole
2033	2972.0	ctx-rh-temporalpole
2034	776.0	ctx-rh-transversetemporal
2035	6249.4	ctx-rh-insula
